Key,SourceString
NAME_ID_ITEM_COIN_DRAGONGAIA,"Gaia Dragon Coin"
NAME_ID_ITEM_COIN_BORNS,"ザ・ボーンズコイン"
NAME_ID_ITEM_COIN_KINGHIDORA,"King Hydra Coin"
NAME_ID_ITEM_COIN_GORUSURA,"ゴルスラ軍団コイン"
NAME_ID_ITEM_COIN_METAKIN,"メタキン軍団コイン"
NAME_ID_ITEM_COIN_GORUDOMAN,"ゴールドマンＭコイン"
NAME_ID_ITEM_COIN_KOKURYU,"黒竜丸コイン"
NAME_ID_ITEM_COIN_BATORUS,"バトルＳコイン"
NAME_ID_ITEM_COIN_RENGOKU,"れんごく天馬コイン"
NAME_ID_ITEM_COIN_HANUMAN,"ハヌマーンコイン"
NAME_ID_ITEM_COIN_BARIKUNAJYA,"バリクナジャコイン"
NAME_ID_ITEM_COIN_DEMONKINGU,"デーモンキングコイン"
NAME_ID_ITEM_COIN_JYAMIRASU,"ジャミラスコイン"
NAME_ID_ITEM_COIN_TORORUB,"Ｔバッコスコイン"
NAME_ID_ITEM_COIN_DORAGONU,"ドラゴン・ウーコイン"
NAME_ID_ITEM_COIN_GIGUHANMA,"ギーグハンマーコイン"
NAME_ID_ITEM_COIN_JIGOKUNONUE,"じごくのヌエコイン"
NAME_ID_ITEM_COIN_BARAMOSUZONBI,"バラモスゾンビコイン"
NAME_ID_ITEM_COIN_KOKURYUPEA,"黒竜丸ペアコイン"
NAME_ID_ITEM_COIN_BATORUSPEA,"バトルＳペアコイン"
NAME_ID_ITEM_COIN_BATORUSGUNDAN,"バトルＳ軍団コイン"
NAME_ID_ITEM_COIN_HANUMANPEA,"ハヌマーンペアコイン"
NAME_ID_ITEM_COIN_HANUMANGUNDAN,"ハヌマーン軍団コイン"
NAME_ID_ITEM_COIN_KINGUREOPEA,"キングレオペアコイン"
NAME_ID_ITEM_COIN_KINGUREOGUNDAN,"キングレオ軍団コイン"
NAME_ID_ITEM_COIN_TBAKKOSUW,"Ｔバッコスペアコイン"
NAME_ID_ITEM_USED_OTAKARASAGASHI,"Treasure Eye Land Bell"
NAME_ID_ITEM_COIN_GURAKOS,"Gracos Coin"
NAME_ID_ITEM_SHOKUJI_KAMUSHIKA,"Azlantelope Wafer"
NAME_ID_ITEM_SHOKUJI_SAKURAMOCHI,"Royal Cherry Mochi"
NAME_ID_ITEM_SHOKUJI_BUTAMAN,"Gatara Pig Buns"
NAME_ID_ITEM_SHOKUJI_SABAKUNOTSUKI,"Moon Desert Dessert"
NAME_ID_ITEM_SHOKUJI_AKUROBATCAKE,"Acrobatic Cake"
NAME_ID_ITEM_SHOKUJI_KARAAGE,"Megis Fried Chicken"
NAME_ID_ITEM_SHOKUJI_KOKONATS,"Summer Coconut"
NAME_ID_ITEM_SHOKUJI_SABURE,"Queen Biscuit"
NAME_ID_ITEM_SHOKUJI_GENKOTSUAME,"Fisticandy"
NAME_ID_ITEM_SHOKUJI_ORGANICSARADA,"Ogre-nic Salad"
NAME_ID_ITEM_SHOKUJI_COLOSSEO,"Coliseum Burger"
NAME_ID_ITEM_SHOKUJI_BURGER,"Grand Titus Bowl"
NAME_ID_ITEM_COIN_SANAKUMA,"3 Legend Evils Coin"
NAME_ID_ITEM_USED_KISEKINOKOUSUI,"Miracle Perfume"
NAME_ID_ITEM_USED_METALNAKOUSUI,"Metal Perfume"
NAME_ID_ITEM_USED_HAGUKUMINOKOUSUI,"Nurture Perfume"
NAME_ID_ITEM_USED_HAGUKUMINOJOUKOUSUI,"Nurture Perfume L"
NAME_ID_ITEM_COIN_KILLERMAJINGA,"Uberkilling Coin"
NAME_ID_ITEM_COIN_KILLERMACHINE,"Trauminator Coin"
NAME_ID_ITEM_OTHER_OUGONNOHANABIRA,"Golden Petal"
NAME_ID_ITEM_COIN_GENKAINOYONSHOKOU,"4 Dread Fiends Coin"
NAME_ID_ITEM_OTHER_CHIISANAMEDARU,"Mini Medal"
NAME_ID_ITEM_CASINO_COIN,"Casino Token"
NAME_ID_ITEM_PRISM_DAIYA,"Diamond Prism"
NAME_ID_ITEM_PRISM_RUBY,"Ruby Prism"
NAME_ID_ITEM_PRISM_SAFAIA,"Sapphire Prism"
NAME_ID_ITEM_PRISM_MEDA,"Lunatick Prism"
NAME_ID_ITEM_PRISM_MEDAPRINS,"Lunatick Prince Prism"
NAME_ID_ITEM_PRISM_SLIME,"Slime Board Prism"
NAME_ID_ITEM_PRISM_MOMONJA,"Platypunk Prism"
NAME_ID_ITEM_PRISM_HELLBOARD,"Hellboard Prism"
NAME_ID_ITEM_PRISM_SWEETS,"Sweets Board Prism"
NAME_ID_ITEM_PRISM_SURABESU,"She-Slime Board Prism"
NAME_ID_ITEM_PRISM_METASURA,"Metal Slime Board Prism"
NAME_ID_ITEM_PRISM_REMOSURA,"Lemon Slime Prism"
NAME_ID_ITEM_BOOK_SLIME,"Slime Book"
NAME_ID_ITEM_BOOK_MOMON,"Teeny Sanguini Book"
NAME_ID_ITEM_BOOK_PURIZUNYAN,"Jailcat Book"
NAME_ID_ITEM_BOOK_HOIMISLIME,"Healslime Book"
NAME_ID_ITEM_BOOK_SLIMEKNIGHT,"Slime Knight Book"
NAME_ID_ITEM_BOOK_KIMERA,"Chimaera Book"
NAME_ID_ITEM_BOOK_NEKOMADOU,"Meowgician Book"
NAME_ID_ITEM_BOOK_RIZARDMAN,"Mandrake Major Book"
NAME_ID_ITEM_BOOK_BABYSATAN,"Imp Book"
NAME_ID_ITEM_BOOK_BATTLEREX,"Hacksaurus Book"
NAME_ID_ITEM_BOOK_BROWNIE,"Brownie Book"
NAME_ID_ITEM_BOOK_DRAGONKID,"Small Fry Book"
NAME_ID_ITEM_BOOK_PRIESTKNIGHT,"プリーストナイトの書"
NAME_ID_ITEM_BOOK_ITAZURAMOGURA,"Mischievous Mole Book"
NAME_ID_ITEM_BOOK_KILLERPANSER,"Great Sabrecat Book"
NAME_ID_ITEM_BOOK_METAPPI,"Mecha-Mynah Book"
NAME_ID_ITEM_BOOK_TAKEYARIHEI,"Bambooligan Book"
NAME_ID_ITEM_BOOK_ODORUHOUSEKI,"Goodybag Book"
NAME_ID_ITEM_BOOK_NIDORUMAN,"Needleman Book"
NAME_ID_ITEM_BOOK_GOLEM,"Golem Book"
NAME_ID_ITEM_BOOK_SAMAYOUYOROI,"Restless Armour Book"
NAME_ID_ITEM_BOOK_FONDU,"Fromage Fray Book"
NAME_ID_ITEM_BOOK_KILLERMACHINE,"Killing Machine Book"
NAME_ID_ITEM_BOOK_MAGIKALHAT,"Hat Hamwitch Book"
NAME_ID_ITEM_BOOK_DEVILARMOR,"Harmour Book"
NAME_ID_ITEM_BOOK_HITOKUISABER,"ひとくいサーベルの書"
NAME_ID_ITEM_BOOK_PAPETMAN,"Magic Marionette Book"
NAME_ID_ITEM_BOOK_ENTASHISUMAN,"Prancing Pillar Book"
NAME_ID_ITEM_BOOK_MIMIC,"Wardrobe Mimic Book"
NAME_ID_ITEM_BOOK_MISTERYDOLL,"Pocus Poppet Book"
NAME_ID_ITEM_BOOK_TANSUMIMIC,"Wardrobe Mimic Book"
NAME_ID_ITEM_BOOK_DORAKY,"Dracky Book"
NAME_ID_ITEM_BOOK_YAMISHIBARI,"Hellbound Horror Book"
NAME_ID_ITEM_COIN_DONMOGURA,"Don Mole Coin"
NAME_ID_ITEM_COIN_ANKOKUNOMAJIN,"Ruin Coin"
NAME_ID_ITEM_COIN_GOSUNERU,"牙王ゴースネルコイン"
NAME_ID_ITEM_USED_YOUSEINOHIYAKU,"Faerie Elixir"
NAME_ID_ITEM_COIN_ZARUTORA,"輪王ザルトラコイン"
NAME_ID_ITEM_COIN_SGENERAL,"Shogum Coin"
NAME_ID_ITEM_SHOKUJI_POWERFULSTEAK,"Powerful Steak"
NAME_ID_ITEM_SHOKUJI_GADIANSARADA,"Guardian Salad"
NAME_ID_ITEM_SHOKUJI_STAMINARICE,"Stamina Rice"
NAME_ID_ITEM_SHOKUJI_MANAPASUTA,"Mana Pasta"
NAME_ID_ITEM_SHOKUJI_MAGICALSAND,"Magical Sandwich"
NAME_ID_ITEM_SHOKUJI_IYASHINOSOUP,"Soothing Soup"
NAME_ID_ITEM_SHOKUJI_KAISHINBURGER,"Critical Burger"
NAME_ID_ITEM_SHOKUJI_MIKAWASHIOMURETSU,"Evasion Omelet"
NAME_ID_ITEM_SHOKUJI_KIYOUSANIKUMAN,"Deft Meat Buns"
NAME_ID_ITEM_SHOKUJI_QUICKCAKE,"Quick Cake"
NAME_ID_ITEM_SHOKUJI_GOJASCOOKIE,"Gorgeous Cookies"
NAME_ID_ITEM_SHOKUJI_MEGAMORIDON,"Mega Rice Bowl"
NAME_ID_ITEM_SHOKUJI_SPICECURRY,"Spicy Curry"
NAME_ID_ITEM_SHOKUJI_SMASHPOTETO,"Mashed Potatoes"
NAME_ID_ITEM_SHOKUJI_BATTLESTEAK,"Battle Steak"
NAME_ID_ITEM_SHOKUJI_GREATGURATAN,"Great Gratin"
NAME_ID_ITEM_SHOKUJI_MAGICSOUP,"Magic Soup"
NAME_ID_ITEM_SHOKUJI_MIRACLESAND,"Miracle Sandwich"
NAME_ID_ITEM_SHOKUJI_IYASHINOMUNIEL,"Mending Meuniere"
NAME_ID_ITEM_SHOKUJI_AIJOUOMURETSU,"Affection Omelet"
NAME_ID_ITEM_SHOKUJI_BALANCEPASUTA,"Balance Pasta"
NAME_ID_ITEM_SHOKUJI_AKUROBURGER,"Acro-Burger"
NAME_ID_ITEM_SHOKUJI_STARSWEETS,"Star Sweets"
NAME_ID_ITEM_SHOKUJI_ZUSSHIRIZOT,"Sushi Risotto"
NAME_ID_ITEM_SHOKUJI_FIRETARUTO,"Fire Tart"
NAME_ID_ITEM_SHOKUJI_ICETARUTO,"Ice Tart"
NAME_ID_ITEM_SHOKUJI_STORMTARUTO,"Storm Tart"
NAME_ID_ITEM_SHOKUJI_DARKTARUTO,"Dark Tart"
NAME_ID_ITEM_SHOKUJI_RIGHTTARUTO,"Light Tart"
NAME_ID_ITEM_SHOKUJI_TAKUMINOCHAHAN,"Fried Rice"
NAME_ID_ITEM_SHOKUJI_KIREKIREKISH,"Sharp Quiche"
NAME_ID_ITEM_SHOKUJI_TANKHANBARG,"Tank Hamburger"
NAME_ID_ITEM_SHOKUJI_BATTLEPIZZA,"Battle Pazza"
NAME_ID_ITEM_USED_TYOUYAKUSOU,"Ultra Medicine"
NAME_ID_ITEM_USED_SEIREINOHIYAKU,"Spirit Elixir"
NAME_ID_ITEM_COIN_BADGEPACK_BRONZE,"Copper Badge Pack"
NAME_ID_ITEM_COIN_BADGEPACK_SILVER,"Silver Badge Pack"
NAME_ID_ITEM_COIN_BADGEPACK_GOLD,"Gold Badge Pack"
NAME_ID_ITEM_MATERIAL_DOUNOKOUSEKI,"Copper Ore"
NAME_ID_ITEM_MATERIAL_TEKKOUSEKI,"Iron Ore"
NAME_ID_ITEM_MATERIAL_GINNOKOUSEKI,"Silver Ore"
NAME_ID_ITEM_MATERIAL_PURATINAKOUSEKI,"Platinum Ore"
NAME_ID_ITEM_MATERIAL_MADURAITO,"Darkonium Lure Book"
NAME_ID_ITEM_MATERIAL_HEBIMETARU,"Densinium"
NAME_ID_ITEM_MATERIAL_SEIREISEKI,"Enchanted Stone"
NAME_ID_ITEM_MATERIAL_GENMASEKI,"Ethereal Stone"
NAME_ID_ITEM_MATERIAL_CHIISANAKASEKI,"Not-Colossal Fossil"
NAME_ID_ITEM_MATERIAL_OOKINAKASEKI,"Colossal Fossil"
NAME_ID_ITEM_MATERIAL_KAGAMIISI,"Mirrorstone"
NAME_ID_ITEM_MATERIAL_HIKARINOISI,"Brighten Rock"
NAME_ID_ITEM_MATERIAL_TUKEMONOISI,"Flintstone"
NAME_ID_ITEM_MATERIAL_HOKAHOKASUTOON,"Warmaline"
NAME_ID_ITEM_MATERIAL_YOUGANNOKAKERA,"Lava Lump"
NAME_ID_ITEM_MATERIAL_OUGONNOKAKERA,"Gold Nuglet"
NAME_ID_ITEM_MATERIAL_GOHRUDOSUTONE,"Gold Nugget"
NAME_ID_ITEM_MATERIAL_KINKAI,"Gold Bar"
NAME_ID_ITEM_MATERIAL_METARUNOKAKERA,"Molten Globules"
NAME_ID_ITEM_MATERIAL_PINKUPAARU,"Pink Pearl Ring"
NAME_ID_ITEM_MATERIAL_BURAKKUPAARU,"Pitch Pearl"
NAME_ID_ITEM_MATERIAL_HOWAITOPAARU,"Pale Pearl"
NAME_ID_ITEM_MATERIAL_AKAIHOUSEKI,"Royal Ruby"
NAME_ID_ITEM_MATERIAL_AOIHOUSEKI,"Savvy Sapphire"
NAME_ID_ITEM_MATERIAL_KIIRONOHOUSEKI,"Sunny Citrine"
NAME_ID_ITEM_MATERIAL_MIDORINOHOUSEKI,"Equable Emerald"
NAME_ID_ITEM_MATERIAL_REDDOAI,"Red Eye"
NAME_ID_ITEM_MATERIAL_BURUUAI,"Blue Eye"
NAME_ID_ITEM_MATERIAL_IEROOAI,"Yellow Eye"
NAME_ID_ITEM_MATERIAL_GUURIINAI,"Green Eye"
NAME_ID_ITEM_MATERIAL_PAAPURUAI,"Purple Eye"
NAME_ID_ITEM_MATERIAL_TOKINOSUISYO,"Chronocrystal"
NAME_ID_ITEM_MATERIAL_REDDOOHBU,"Red Orb"
NAME_ID_ITEM_MATERIAL_BURUOHBU,"Blue Orb"
NAME_ID_ITEM_MATERIAL_IEROOHBU,"Yellow Orb"
NAME_ID_ITEM_MATERIAL_GURIINOHBU,"Green Orb"
NAME_ID_ITEM_MATERIAL_PAAPURUOHBU,"Purple Orb"
NAME_ID_ITEM_MATERIAL_NIJIIRONOOHBU,"Iridescent Orb Recipe"
NAME_ID_ITEM_MATERIAL_MEIKYUCOINNOHAHEN,"迷宮コインの破片"
NAME_ID_ITEM_MATERIAL_OGURIDOHOHN,"Ogreed Horn"
NAME_ID_ITEM_MATERIAL_ASANOITO,"Flaxen Thread"
NAME_ID_ITEM_MATERIAL_KOTTONSOU,"Cottontop"
NAME_ID_ITEM_MATERIAL_SIRUKUSOU,"Silkblossom"
NAME_ID_ITEM_MATERIAL_KAGAYAKISOU,"Glimmergrass"
NAME_ID_ITEM_MATERIAL_YOUSEINOMENKA,"Faerie Fluff"
NAME_ID_ITEM_MATERIAL_MIKAWASISOU,"Slipweed"
NAME_ID_ITEM_MATERIAL_AYAKASISOU,"Narspicious"
NAME_ID_ITEM_MATERIAL_SATORISOU,"Thinkincense"
NAME_ID_ITEM_MATERIAL_HANANOMITU,"Nectar"
NAME_ID_ITEM_MATERIAL_SAEZURINOMITU,"Birdsong Nectar"
NAME_ID_ITEM_MATERIAL_SURAIMUOSYAREBANA,"Stylish Slime Flower"
NAME_ID_ITEM_MATERIAL_SIOKAZESOU,"Waveweed"
NAME_ID_ITEM_MATERIAL_SANDOFURUTU,"Duneberry"
NAME_ID_ITEM_MATERIAL_YAWARAKAIEDA,"Soft Branch"
NAME_ID_ITEM_MATERIAL_JOBUNAEDA,"Sturdy Stick"
NAME_ID_ITEM_MATERIAL_SINAYAKANAEDA,"Bendy Branch"
NAME_ID_ITEM_MATERIAL_KIREINAEDA,"Pink Pine"
NAME_ID_ITEM_MATERIAL_MAHOUNOJUMOKU,"Spellbound Bough"
NAME_ID_ITEM_MATERIAL_MIZUNOJUMOKU,"Water Wood"
NAME_ID_ITEM_MATERIAL_ANKOKUNOJUMOKU,"Fatalistick"
NAME_ID_ITEM_MATERIAL_KOORINOJUMOKU,"Avabranche"
NAME_ID_ITEM_MATERIAL_HONOONOJUMOKU,"Fire Wood"
NAME_ID_ITEM_MATERIAL_HOWAITOUDDO,"Whitewood"
NAME_ID_ITEM_MATERIAL_SABANNAUDDO,"Witherwood"
NAME_ID_ITEM_MATERIAL_REDDOBERI,"Buzzberries"
NAME_ID_ITEM_MATERIAL_KATIKOTIKURUMI,"Tough Nut"
NAME_ID_ITEM_MATERIAL_MIDORINOKOKE,"Emerald Moss"
NAME_ID_ITEM_MATERIAL_URUWASIKINOKO,"Belle Cap"
NAME_ID_ITEM_MATERIAL_GENKOTUDAKE,"Fisticup"
NAME_ID_ITEM_MATERIAL_BIGGUSABOTEN,"Colossal Cactus"
NAME_ID_ITEM_MATERIAL_SAKURANOHANABIRA,"Cherry Blossom Petal"
NAME_ID_ITEM_MATERIAL_YASINOMI,"Coconut"
NAME_ID_ITEM_MATERIAL_FUSIGINAKAISOU,"Water Sedge"
NAME_ID_ITEM_MATERIAL_MANMARUPOTETO,"Budding Spud Seed"
NAME_ID_ITEM_MATERIAL_JANBOTAMANEGI,"Overgrown Onion Seed"
NAME_ID_ITEM_MATERIAL_SYAKKIRIRETASU,"Luscious Lettuce Seed"
NAME_ID_ITEM_MATERIAL_FUWAFUWAKOMUGI,"Wondrous Wheat Seed"
NAME_ID_ITEM_MATERIAL_RAISUFURAWA,"Rice Blossom Seed"
NAME_ID_ITEM_MATERIAL_BIKKURITOMATO,"Killer Tomato Seed"
NAME_ID_ITEM_MATERIAL_PUKURANSAFURAN,"Pukuland Saffron"
NAME_ID_ITEM_MATERIAL_ERUTONNASUISEN,"Eltona Daffodil"
NAME_ID_ITEM_MATERIAL_SURUDOIKIBA,"Cruel Claw"
NAME_ID_ITEM_MATERIAL_SURUDOITUME,"Twisted Talons"
NAME_ID_ITEM_MATERIAL_TIISANAHONE,"Itty-Bitty Bone"
NAME_ID_ITEM_MATERIAL_OOKINAHONE,"Big Bone"
NAME_ID_ITEM_MATERIAL_MAJUNOHONE,"Magic Beast Bone"
NAME_ID_ITEM_MATERIAL_DORAGONNOHONE,"Dragon Bone"
NAME_ID_ITEM_MATERIAL_GENJUNOHONE,"Mythic Beast Bone"
NAME_ID_ITEM_MATERIAL_MAJUNOTUNO,"Magic Beast Horn"
NAME_ID_ITEM_MATERIAL_DORAGONNOTUNO,"Dragon Horn"
NAME_ID_ITEM_MATERIAL_TIISANAKOURA,"Tiny Tortoise Shell"
NAME_ID_ITEM_MATERIAL_OOKINAKOURA,"Giant Tortoise Shell"
NAME_ID_ITEM_MATERIAL_KEMONONOKAWA,"Hardy Hide"
NAME_ID_ITEM_MATERIAL_FUSAFUSANOKEGAWA,"Fine Fur"
NAME_ID_ITEM_MATERIAL_MAJUNOKAWA,"Magic Beast Hide"
NAME_ID_ITEM_MATERIAL_DORAGONNOKAWA,"Dragon Hide"
NAME_ID_ITEM_MATERIAL_GENJUNOKAWA,"Kaleidoskin"
NAME_ID_ITEM_MATERIAL_TIISANAUROKO,"Small Scale"
NAME_ID_ITEM_MATERIAL_OOKINAUROKO,"Large Scale"
NAME_ID_ITEM_MATERIAL_TYOUNOHANE,"Butterfly Wing"
NAME_ID_ITEM_MATERIAL_KOUMORINOHANE,"Wing of Bat"
NAME_ID_ITEM_MATERIAL_KAZEKIRINOHANE,"Flurry Feather"
NAME_ID_ITEM_MATERIAL_YAWARAKAUURU,"Lambswool"
NAME_ID_ITEM_MATERIAL_GAMANOABURA,"Toad Oil"
NAME_ID_ITEM_MATERIAL_HEBINONUKEGARA,"Snakeskin"
NAME_ID_ITEM_MATERIAL_YOGORETAHOUTAI,"Grubby Bandage"
NAME_ID_ITEM_MATERIAL_SURAIMUZERII,"Slimedrop"
NAME_ID_ITEM_MATERIAL_YOUSEINOHIDANE,"Lamplight"
NAME_ID_ITEM_MATERIAL_MANNENYUKI,"Permasnow"
NAME_ID_ITEM_MATERIAL_KOORINOKESSYO,"Ice Crystal"
NAME_ID_ITEM_MATERIAL_DOKUDOKUHEDORO,"Manky Mud"
NAME_ID_ITEM_MATERIAL_NEKOZUNA,"Kitty Litter"
NAME_ID_ITEM_MATERIAL_FUSIGINADORODORO,"Odd Clod"
NAME_ID_ITEM_MATERIAL_MARYOKUNOTUTI,"Royal Soil"
NAME_ID_ITEM_MATERIAL_MIGAKIZUNA,"Glass Frit"
NAME_ID_ITEM_MATERIAL_AMATUYUNOITO,"Celestial Skein"
NAME_ID_ITEM_MATERIAL_KAGAYAKINOJUEKI,"Sparkly Sap"
NAME_ID_ITEM_MATERIAL_NANAIRONOMAYU,"Colorful Cocoon"
NAME_ID_ITEM_MATERIAL_TIISANAKAIGARA,"Small Seashell"
NAME_ID_ITEM_MATERIAL_OOKINAKAIGARA,"Sizeable Seashell"
NAME_ID_ITEM_MATERIAL_AKAISANGO,"Crimson Coral"
NAME_ID_ITEM_MATERIAL_KIYOMENOMIZU,"Fresh Water"
NAME_ID_ITEM_MATERIAL_SABANNANOMIZU,"Oasis Water"
NAME_ID_ITEM_MATERIAL_SAZANAMINOSIZUKU,"Rippledrops"
NAME_ID_ITEM_MATERIAL_TOGEUNI,"Ouchy Urchin"
NAME_ID_ITEM_MATERIAL_USINOFUN,"Cowpat"
NAME_ID_ITEM_MATERIAL_UMANOFUN,"Horse Manure"
NAME_ID_ITEM_MATERIAL_IKAZUTINOTAMA,"Thunderball"
NAME_ID_ITEM_MATERIAL_YORUNOTOBARI,"Evencloth"
NAME_ID_ITEM_MATERIAL_TENSINOSOMA,"Sainted Soma"
NAME_ID_ITEM_MATERIAL_HOSINOKAKERA,"Lucida Shard"
NAME_ID_ITEM_MATERIAL_BUDOUEKISU,"Finessence"
NAME_ID_ITEM_MATERIAL_SEIJYANOHAI,"Saint's Ashes"
NAME_ID_ITEM_MATERIAL_NIJIIRONONUNOKIRE,"Technicolor Dreamcloth"
NAME_ID_ITEM_MATERIAL_YAWARAKAINIKU,"Succulent Steak"
NAME_ID_ITEM_MATERIAL_SIMOFURIMITO,"Supreme Steak"
NAME_ID_ITEM_MATERIAL_SINSENTAMAGO,"Free-Range Eggs"
NAME_ID_ITEM_MATERIAL_OISIIMIRUKU,"Fresh Milk"
NAME_ID_ITEM_MATERIAL_SAKANANOKIRIMI,"Fish Filet"
NAME_ID_ITEM_MATERIAL_OOTORRONOKIRIMI,"Tuna Belly"
NAME_ID_ITEM_MATERIAL_GOKUJOSORUTO,"Salt of the Earth"
NAME_ID_ITEM_MATERIAL_KOKUUMASOSU,"Barbecue Sauce"
NAME_ID_ITEM_MATERIAL_PIRIKARAPEPPA,"Hot Stuff"
NAME_ID_ITEM_MATERIAL_DERISYASUOIRU,"Delicious Oil"
NAME_ID_ITEM_MATERIAL_SYAKUSUKIN,"Sharkskin"
NAME_ID_ITEM_MATERIAL_WERUNARUSYERU,"Wenal Shell"
NAME_ID_ITEM_MATERIAL_DOWATYAKAOIRU,"Dwachakka Oil"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIKATATEKEN,"Gold Ornament Sword"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIRYOTEKEN,"Gold Ornament Grtsword"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARITANKEN,"Gold Ornament Dagger"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIYARI,"Gold Ornament Spear"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIONO,"Gold Ornament Axe"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIHANMA,"Gold Ornament Hammer"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARITUME,"Gold Ornament Claw"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIBUMERAN,"Gold Ornament Boomerang"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIMUTI,"Gold Ornament Whip"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARISUTIKKU,"Gold Ornament Wand"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIRYOTETUE,"Gold Ornament Staff"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIKON,"Gold Ornament Club"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIOUGI,"Gold Ornament Fan"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIYUMI,"Gold Ornament Bow"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARITATE,"Gold Ornament Shield"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIKABUTO,"Gold Ornament Helmet"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIYOROISITA,"Gold Ornament Faulds"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIYOROIUE,"Gold Ornament Cuirass"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIKOTE,"Gold Ornament Gloves"
NAME_ID_ITEM_MATERIAL_OUGONNOKAZARIKUTU,"Gold Ornament Boots"
NAME_ID_ITEM_RECIPE_BLACKSMITH_HAJIMETENOBUKIKAJI,"Welcome Weaponsmithing"
