Key,SourceString
SYSTXT_TITLE_BOUKENNOSYO_60010,"You can display furigana in your message. <lf> Display? <lf> (Setting 1/4) <lf><select><lf>Yes<lf>No<lf><select_end><break>"
SYSTXT_TITLE_BOUKENNOSYO_60020,"Set whether to play voice. <lf>Play? <lf> (Setting 2/4) <lf> <select> <lf> Yes <lf> No <lf> <select_end> <break>"
SYSTXT_TITLE_BOUKENNOSYO_60030,"Set how to operate the camera. <lf>*Detailed settings can be changed in 'Settings'. <lf> (setting 3/4) <lf><break>"
SYSTXT_TITLE_BOUKENNOSYO_60040,"Set screen brightness. <lf>Set the brightness so that it is easy to play. <lf> (Setting 4/4) <lf><break>"
SYSTXT_TITLE_BOUKENNOSYO_60050,"Are you sure about this brightness? <lf><select><lf>yes<lf>no<lf><select_end><lf><break>"
SYSTXT_TITLE_BOUKENNOSYO_70010,"You can <lf> skip the Etene village scenario in the beginning. Do you want to start the game by <lf> reviving as another race? <lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_80010,"Would you like to set up Shibari Play? <lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_90010,"Exit the game. <lf><select><lf>End game<lf>Return to title<lf><select_end><lf><break>"
SYSTXT_TITLE_BOUKENNOSYO_90020,"Unsaved content will be lost. <lf>Are you sure you want to <lf> quit the game? <lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_90030,"Unsaved content will be lost. <lf>Are you sure you want to <lf>go back to the title? <lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_11040,"This adventure book is currently unplayable. <lf>Please wait until the installation of the game data <lf> is completed."
SYSTXT_TITLE_BOUKENNOSYO_95010,"Would you like to <lf> transfer the save data from the PlayStation<rs>4? <lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_95020,"Corrupted data."
SYSTXT_TITLE_BOUKENNOSYO_95030,"Are you sure you want to clear the corrupted data? <lf><yesno2><break>"
SYSTXT_TITLE_BOUKENNOSYO_95040,"No Adventure Book. <lf>Please try to <lf>create the adventure book first."
SYSTXT_TITLE_BOUKENNOSYO_11050,"{SaveSlotName} is currently unplayable. <lf>Please wait until the installation of the game data <lf> is completed."
SYSTXT_TITLE_BOUKENNOSYO_11060,"Book of Adventures {N}"
SYSTXT_TITLE_BOUKENNOSYO_11070,"Autosave"
SYSTXT_TITLE_BOUKENNOSYO_11080,"Unable to play <lf> at the moment because the adventure book is missing."
SYSTXT_TITLE_DATA_TRANSFER_00010,"Continuing the trial version"
SYSTXT_TITLE_DATA_TRANSFER_00020,"Resume from autosave (trial version)"
SYSTXT_TITLE_DATA_TRANSFER_00030,"Adventure Book (Trial Version)"
SYSTXT_TITLE_DATA_TRANSFER_00040,"Loading trial adventure book. <lf>Please wait until it completes."
SYSTXT_TITLE_GAME_TRIAL_00010,"PlayStation™Store"
SYSTXT_TITLE_GAME_TRIAL_00020,"Nintendo eShop"
SYSTXT_TITLE_GAME_TRIAL_00030,"Shop"
SYSTXT_TITLE_DATA_TRANSFER_00050,"Autosave failed."
